hours_slept,sleep_quality,exercise_hours,caffeine,stress_level,screen_time,energy_score
5.87,7.49,0.26,4,5.45,7.77,29.68
8.75,3.59,2.26,1,7.79,6.88,44.44
7.66,4.13,1.26,3,1.93,9.59,47.33
6.99,9.29,2.07,1,5.83,5.17,49.03
4.78,7.25,0.8,4,4.41,9.63,24.27
4.78,3.06,2.24,4,5.11,3.08,20.53
4.29,3.71,0.97,0,6.44,5.87,13.83
8.33,7.64,0.03,4,5.52,4.16,52.49
7.01,3.04,2.26,0,5.86,6.32,35.48
7.54,4.13,0.23,3,5.38,3.3,40.55
4.1,6.84,0.8,1,4.68,8.73,21.65
8.85,7.84,2.38,1,7.95,8.77,55.55
8.16,7.56,2.38,0,1.11,9.64,68.46
5.06,4.57,1.43,1,6.39,3.24,24.88
4.91,7.99,1.58,4,6.09,6.99,27.06
4.92,4.66,1.12,2,7.45,5.79,19.09
5.52,5.28,0.73,0,6.39,4.76,31.11
6.62,8.23,0.82,1,8.44,4.81,37.33
6.16,7.55,1.68,0,9.63,5.3,31.57
5.46,8.94,1.88,0,4.08,7.64,50.62
7.06,7.6,1.98,2,3.05,6.79,53.11
4.7,6.98,1.97,4,4.81,5.68,36.54
5.46,3.66,0.23,0,3.59,2.61,38.27
5.83,5.57,1.24,1,6.53,2.62,40.66
6.28,4.86,0.14,3,9.21,2.02,23.28
7.93,4.71,1.37,0,2.25,9.74,50.48
5.0,9.81,1.1,0,1.91,2.04,56.5
6.57,5.75,2.22,2,3.3,2.82,54.92
6.96,9.24,0.88,4,7.53,4.52,43.14
4.23,7.42,0.29,3,6.34,8.46,19.96
7.04,8.56,0.36,1,1.92,9.7,56.4
4.85,6.52,1.9,3,9.27,8.32,13.9
4.33,7.04,1.55,1,8.11,7.52,21.76
8.74,6.45,0.25,4,1.21,6.17,64.51
8.83,4.37,0.21,1,6.86,2.69,52.19
8.04,8.06,1.75,2,7.94,9.67,42.16
5.52,4.97,0.18,2,4.37,8.07,24.54
4.49,3.17,2.05,2,1.62,7.11,29.7
7.42,7.52,1.77,2,1.7,8.07,60.13
6.2,4.24,0.2,3,1.94,7.79,36.76
4.61,9.58,0.21,4,8.56,7.1,20.08
6.48,9.68,2.47,1,9.2,9.84,40.59
4.17,9.4,0.94,1,2.11,9.23,34.78
8.55,5.59,0.93,2,3.12,7.17,52.81
5.29,3.11,2.03,2,2.49,7.55,32.49
7.31,9.5,2.37,0,2.68,2.41,75.35
5.56,6.0,2.47,4,8.54,7.36,22.24
6.6,9.77,1.88,3,3.99,2.35,59.91
6.73,9.75,0.94,1,3.8,6.71,57.29
4.92,8.97,0.21,0,3.05,9.99,42.83
8.85,5.06,1.94,0,6.47,6.45,59.47
7.88,5.7,1.4,1,4.41,5.79,47.12
8.7,8.96,1.06,3,7.7,4.5,55.77
8.47,5.22,2.27,0,2.85,2.96,65.06
6.99,4.19,0.28,0,8.09,7.85,30.88
8.61,6.9,1.23,4,6.43,3.54,47.37
4.44,9.55,0.03,3,2.03,2.92,47.89
4.98,7.87,1.17,0,4.73,5.37,37.8
4.23,6.99,0.14,3,8.77,8.36,13.89
5.63,3.68,0.3,1,9.31,7.96,14.66
5.94,7.31,0.29,2,5.19,2.44,43.97
5.36,9.93,1.62,0,5.33,5.64,41.35
8.14,3.98,1.87,4,9.27,6.18,29.89
5.78,6.63,1.46,1,6.28,7.16,31.31
5.4,9.14,2.41,3,1.3,7.2,48.4
6.71,8.19,0.94,1,9.21,4.92,40.87
4.7,7.88,0.71,0,3.23,6.49,34.21
8.01,7.92,2.17,3,6.2,5.85,59.7
4.37,5.52,0.56,2,2.49,9.08,31.08
8.93,5.06,2.41,1,1.3,6.24,67.09
7.86,8.67,0.03,0,3.8,5.53,62.37
4.99,8.67,2.42,4,8.02,5.24,29.67
4.03,9.07,0.11,3,3.5,6.58,34.96
8.08,9.39,2.23,1,2.98,8.43,70.41
7.53,6.58,1.32,1,2.91,6.31,56.69
7.65,6.51,2.48,2,5.64,7.29,49.57
7.86,8.59,0.18,2,9.78,7.9,36.07
4.37,7.55,1.38,4,5.13,6.16,28.69
5.79,7.91,2.42,4,6.02,5.41,39.45
